PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,WPA,WPA_PLAYS,SEASON,SEASON_TYPE
1626149,M. Harrell,PHI,6.92,195,2022-23,Regular Season
204060,J. Ingles,MIL,6.9,126,2022-23,Regular Season
200752,R. Gay,UTA,6.86,151,2022-23,Regular Season
1630528,J. Christopher,HOU,6.81,198,2022-23,Regular Season
203933,T. Warren,BKN,6.72,160,2022-23,Regular Season
1629130,D. Robinson,MIA,6.69,117,2022-23,Regular Season
1630256,J. Tate,HOU,6.65,160,2022-23,Regular Season
1628467,M. Kleber,DAL,6.6,104,2022-23,Regular Season
1630537,C. Duarte,IND,6.59,184,2022-23,Regular Season
200782,P. Tucker,PHI,6.46,115,2022-23,Regular Season
1627732,B. Simmons,BKN,6.45,157,2022-23,Regular Season
1629660,T. Jerome,GSW,6.43,156,2022-23,Regular Season
1631119,J. Williams,OKC,6.33,140,2022-23,Regular Season
1629057,R. Williams III,BOS,6.32,152,2022-23,Regular Season
201152,T. Young,TOR,6.18,126,2022-23,Regular Season
203967,D. Šarić,PHX,6.17,190,2022-23,Regular Season
1629312,H. Highsmith,MIA,6.08,106,2022-23,Regular Season
1630177,T. Maledon,CHA,6.08,165,2022-23,Regular Season
203085,A. Rivers,MIN,6.04,121,2022-23,Regular Season
1630181,R. Hampton,ORL,6.01,159,2022-23,Regular Season
1628427,V. Čančar,DEN,6.0,146,2022-23,Regular Season
1629680,M. Thybulle,PHI,5.76,129,2022-23,Regular Season
201988,P. Mills,BKN,5.64,111,2022-23,Regular Season
1630647,E. Omoruyi,OKC,5.6,152,2022-23,Regular Season
1629726,G. Mathews,HOU,5.52,121,2022-23,Regular Season
1630192,Z. Nnaji,DEN,5.48,150,2022-23,Regular Season
1628988,A. Holiday,ATL,5.34,119,2022-23,Regular Season
1630194,P. Reed,PHI,5.2,162,2022-23,Regular Season
1630595,C. Cunningham,DET,5.17,129,2022-23,Regular Season
201588,G. Hill,MIL,5.16,120,2022-23,Regular Season
203496,R. Covington,LAC,5.07,132,2022-23,Regular Season
1627863,D. House Jr.,PHI,5.05,138,2022-23,Regular Season
1630202,P. Pritchard,BOS,5.03,113,2022-23,Regular Season
1629647,D. Bazley,OKC,5.02,121,2022-23,Regular Season
202687,B. Biyombo,PHX,4.98,144,2022-23,Regular Season
203473,D. Dedmon,MIA,4.95,110,2022-23,Regular Season
1630541,M. Moody,GSW,4.88,145,2022-23,Regular Season
1630572,S. Mamukelashvili,MIL,4.76,136,2022-23,Regular Season
1630540,M. McBride,NYK,4.75,105,2022-23,Regular Season
1630550,J. Thor,CHA,4.74,127,2022-23,Regular Season
1631121,B. McGowens,CHA,4.73,140,2022-23,Regular Season
1626159,J. Winslow,POR,4.73,101,2022-23,Regular Season
1630613,D. Washington Jr.,PHX,4.68,110,2022-23,Regular Season
1630586,U. Garuba,HOU,4.63,115,2022-23,Regular Season
1630688,I. Wainright,PHX,4.56,110,2022-23,Regular Season
203200,J. Holiday,ATL,4.5,82,2022-23,Regular Season
1629750,J. Green,CHI,4.48,91,2022-23,Regular Season
1630201,M. Flynn,TOR,4.44,112,2022-23,Regular Season
1630322,L. Waters III,OKC,4.42,86,2022-23,Regular Season
1629004,S. Mykhailiuk,NYK,4.41,103,2022-23,Regular Season
1629731,D. Wade,CLE,4.4,88,2022-23,Regular Season
1630227,D. Nix,HOU,4.38,105,2022-23,Regular Season
1630700,D. Daniels,NOP,4.33,113,2022-23,Regular Season
202722,D. Bertāns,DAL,4.24,82,2022-23,Regular Season
1629637,J. Hayes,NOP,4.24,144,2022-23,Regular Season
1628436,L. Kornet,BOS,4.24,145,2022-23,Regular Season
201580,J. McGee,DAL,4.11,104,2022-23,Regular Season
1626195,W. Hernangomez,NOP,4.09,170,2022-23,Regular Season
1626169,S. Johnson,SAS,3.96,91,2022-23,Regular Season
1629308,J. Toscano-Anderson,LAL,3.96,83,2022-23,Regular Season
202083,W. Matthews,MIL,3.94,82,2022-23,Regular Season
1630579,J. Sims,NYK,3.89,95,2022-23,Regular Season
203095,E. Fournier,NYK,3.86,74,2022-23,Regular Season
201599,D. Jordan,DEN,3.84,110,2022-23,Regular Season
1629646,C. Bassey,SAS,3.7,109,2022-23,Regular Season
1631132,C. Koloko,TOR,3.69,109,2022-23,Regular Season
1630699,M. Beauchamp,MIL,3.68,123,2022-23,Regular Season
1630547,J. Bouknight,CHA,3.65,89,2022-23,Regular Season
1629162,J. McLaughlin,MIN,3.63,76,2022-23,Regular Season
1631104,B. Wesley,SAS,3.56,95,2022-23,Regular Season
1630549,D. Sharpe,BKN,3.53,128,2022-23,Regular Season
1631216,C. Houstan,ORL,3.52,81,2022-23,Regular Season
203585,R. McGruder,DET,3.44,80,2022-23,Regular Season
201937,R. Rubio,CLE,3.43,89,2022-23,Regular Season
1631172,O. Dieng,OKC,3.42,91,2022-23,Regular Season
201933,B. Griffin,BOS,3.4,84,2022-23,Regular Season
1631133,J. Walker,POR,3.39,117,2022-23,Regular Season
1630577,J. Champagnie,SAS,3.36,73,2022-23,Regular Season
1630264,A. Gill,WAS,3.35,120,2022-23,Regular Season
201959,T. Gibson,WAS,3.32,95,2022-23,Regular Season
1629643,C. Okeke,ORL,3.3,59,2022-23,Regular Season
1628981,B. Fernando,HOU,3.28,94,2022-23,Regular Season
1630533,Z. Williams,MEM,3.27,101,2022-23,Regular Season
201565,D. Rose,NYK,3.2,72,2022-23,Regular Season
1627745,D. Jones,LAL,3.12,77,2022-23,Regular Season
1629048,G. Bitadze,IND,3.01,92,2022-23,Regular Season
1630568,L. Garza,MIN,2.98,104,2022-23,Regular Season
1630284,K. Harris,ORL,2.88,78,2022-23,Regular Season
1630553,K. Johnson,POR,2.82,94,2022-23,Regular Season
1631115,O. Robinson,MIA,2.82,69,2022-23,Regular Season
1629599,A. Coffey,LAC,2.78,105,2022-23,Regular Season
1628373,F. Ntilikina,DAL,2.77,70,2022-23,Regular Season
1629678,A. Schofield,ORL,2.76,76,2022-23,Regular Season
1630240,S. Lee,PHI,2.74,91,2022-23,Regular Season
1630539,K. Jones,CHA,2.67,86,2022-23,Regular Season
1627823,J. Hernangomez,TOR,2.65,57,2022-23,Regular Season
1630233,N. Knight,MIN,2.64,85,2022-23,Regular Season
203526,R. Neto,CLE,2.63,88,2022-23,Regular Season
1631098,J. Davis,WAS,2.61,80,2022-23,Regular Season
202693,M. Morris,BKN,2.58,57,2022-23,Regular Season
203109,J. Crowder,MIL,2.47,55,2022-23,Regular Season
1630625,D. Banton,TOR,2.42,72,2022-23,Regular Season
1631108,M. Christie,LAL,2.41,58,2022-23,Regular Season
1626158,R. Holmes,SAC,2.32,70,2022-23,Regular Season
1629676,I. Roby,SAS,2.31,87,2022-23,Regular Season
1630346,M. Ryan,LAL,2.27,50,2022-23,Regular Season
1628962,U. Azubuike,UTA,2.26,66,2022-23,Regular Season
1631260,A. Green,MIL,2.25,57,2022-23,Regular Season
1627780,G. Payton II,POR,2.2,47,2022-23,Regular Season
1630593,M. Wright IV,DAL,2.15,59,2022-23,Regular Season
