PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
1629631,D. Hunter,ATL,1.4,-1.02,0.38,7597,2024-25,Regular Season
1631209,I. Wong,CHA,-0.71,1.08,0.37,1076,2024-25,Regular Season
203926,D. McDermott,SAC,0.39,-0.03,0.36,1401,2024-25,Regular Season
1628374,L. Markkanen,UTA,0.83,-0.49,0.34,6235,2024-25,Regular Season
1630165,K. Hayes,BKN,0.41,-0.07,0.34,683,2024-25,Regular Season
1630545,T. Shannon Jr.,MIN,-0.14,0.47,0.33,1432,2024-25,Regular Season
1630700,D. Daniels,ATL,-0.12,0.44,0.32,11175,2024-25,Regular Season
1641890,T. Smith,MIL,-0.11,0.41,0.3,509,2024-25,Regular Season
203944,J. Randle,MIN,1.0,-0.7,0.3,9118,2024-25,Regular Season
1642050,J. Rowe,GSW,0.18,0.12,0.3,232,2024-25,Regular Season
1631133,J. Walker,POR,-0.15,0.44,0.29,3204,2024-25,Regular Season
1628415,D. Brooks,HOU,-1.02,1.31,0.29,9920,2024-25,Regular Season
1630583,S. Aldama,MEM,0.86,-0.58,0.28,7331,2024-25,Regular Season
1642277,J. Furphy,IND,-0.25,0.53,0.28,1611,2024-25,Regular Season
1630618,D. Carton,TOR,0.05,0.22,0.27,152,2024-25,Regular Season
1641789,J. Gortman,DAL,0.12,0.15,0.27,241,2024-25,Regular Season
1630531,J. Springer,BOS,-0.6,0.87,0.27,1544,2024-25,Regular Season
1630200,T. Jones,CHI,0.35,-0.08,0.27,3889,2024-25,Regular Season
1630678,T. Taylor,SAC,0.19,0.07,0.26,23,2024-25,Regular Season
1630551,J. Champagnie,WAS,0.85,-0.59,0.26,5720,2024-25,Regular Season
1630201,M. Flynn,CHA,0.16,0.1,0.26,173,2024-25,Regular Season
1630217,D. Bane,MEM,1.06,-0.81,0.25,9667,2024-25,Regular Season
1630703,S. Henderson,POR,1.25,-1.01,0.24,7413,2024-25,Regular Season
1629645,K. Porter Jr.,LAC,-0.97,1.21,0.24,6176,2024-25,Regular Season
1627763,M. Brogdon,WAS,0.45,-0.21,0.24,2394,2024-25,Regular Season
1630579,J. Sims,NYK,0.16,0.08,0.24,2541,2024-25,Regular Season
1630762,P. Wheeler,PHI,0.01,0.22,0.23,173,2024-25,Regular Season
1631212,P. Watson,DEN,-0.46,0.69,0.23,7007,2024-25,Regular Season
1629661,C. Johnson,BKN,1.06,-0.84,0.22,7318,2024-25,Regular Season
1628978,D. DiVincenzo,MIN,-0.2,0.41,0.21,6702,2024-25,Regular Season
1641790,P. Hall,DEN,-0.25,0.46,0.21,254,2024-25,Regular Season
202696,N. Vučević,CHI,1.0,-0.8,0.2,9897,2024-25,Regular Season
1630227,D. Nix,SAC,0.02,0.18,0.2,55,2024-25,Regular Season
1642377,J. Wells,MEM,0.7,-0.51,0.19,8956,2024-25,Regular Season
1629020,J. Vanderbilt,LAL,0.51,-0.33,0.18,2414,2024-25,Regular Season
1641815,I. Stevens,MIA,-0.11,0.29,0.18,22,2024-25,Regular Season
1626171,B. Portis,MIL,-0.2,0.38,0.18,5256,2024-25,Regular Season
1626143,J. Okafor,IND,0.08,0.1,0.18,14,2024-25,Regular Season
202709,C. Joseph,ORL,0.38,-0.21,0.17,2485,2024-25,Regular Season
1631108,M. Christie,LAL,1.07,-0.92,0.15,8838,2024-25,Regular Season
1631214,A. Williams,DET,0.13,0.01,0.14,13,2024-25,Regular Season
1642382,B. Carlson,OKC,0.44,-0.3,0.14,1044,2024-25,Regular Season
1628365,M. Fultz,SAC,-0.01,0.15,0.14,735,2024-25,Regular Season
1631245,Q. Jackson,IND,-0.05,0.18,0.13,1636,2024-25,Regular Season
1631098,J. Davis,WAS,-0.39,0.51,0.12,1056,2024-25,Regular Season
1631466,N. Williams,HOU,0.74,-0.62,0.12,642,2024-25,Regular Season
1629667,J. McDaniels,WAS,-0.03,0.15,0.12,34,2024-25,Regular Season
1631102,T. Washington Jr.,PHX,-0.03,0.14,0.11,470,2024-25,Regular Season
1630537,C. Duarte,CHI,-0.0,0.11,0.11,320,2024-25,Regular Season
1631105,J. Duren,DET,1.5,-1.4,0.1,8581,2024-25,Regular Season
1630568,L. Garza,MIN,0.08,-0.0,0.08,934,2024-25,Regular Season
1631116,P. Baldwin Jr.,WAS,0.31,-0.23,0.08,451,2024-25,Regular Season
1642353,C. Christie,LAC,0.02,0.06,0.08,233,2024-25,Regular Season
1642349,A. Mitchell,OKC,-1.55,1.62,0.07,2480,2024-25,Regular Season
1631221,C. Gillespie,PHX,1.24,-1.17,0.07,1858,2024-25,Regular Season
1631311,L. Quinones,NOP,-0.31,0.37,0.06,802,2024-25,Regular Season
1642434,R. Minix,SAS,-0.03,0.09,0.06,29,2024-25,Regular Season
1641824,M. Buzelis,CHI,-0.29,0.35,0.06,6589,2024-25,Regular Season
1642449,T. Smith,DET,-0.03,0.09,0.06,94,2024-25,Regular Season
1641787,T. Evbuomwan,BKN,-0.72,0.76,0.04,2689,2024-25,Regular Season
1631123,J. Bouyea,MIL,0.36,-0.32,0.04,259,2024-25,Regular Season
1642352,K. Johnson,MIA,0.01,0.03,0.04,412,2024-25,Regular Season
1626220,R. O'Neale,PHX,0.62,-0.59,0.03,7555,2024-25,Regular Season
1642368,N. Dante,HOU,0.42,-0.39,0.03,220,2024-25,Regular Season
1642266,J. Walter,TOR,0.39,-0.36,0.03,4605,2024-25,Regular Season
1631247,L. Travers,CLE,0.1,-0.09,0.01,366,2024-25,Regular Season
1641779,J. Bridges,PHX,-0.16,0.17,0.01,118,2024-25,Regular Season
1627746,S. Labissiere,SAC,0.16,-0.15,0.01,48,2024-25,Regular Season
1629018,G. Trent Jr.,MIL,2.05,-2.04,0.01,7916,2024-25,Regular Season
1630567,S. Barnes,TOR,-1.03,1.03,0.0,9030,2024-25,Regular Season
203897,Z. LaVine,CHI,1.6,-1.6,0.0,10999,2024-25,Regular Season
1642385,C. Yongxi,BKN,-0.14,0.13,-0.01,47,2024-25,Regular Season
1642389,Z. Pullin,MEM,-0.02,-0.0,-0.02,9,2024-25,Regular Season
1628371,J. Isaac,ORL,-0.56,0.54,-0.02,4443,2024-25,Regular Season
1630644,M. McClung,ORL,0.11,-0.14,-0.03,41,2024-25,Regular Season
1631132,C. Koloko,LAL,-0.82,0.78,-0.04,1409,2024-25,Regular Season
1629056,T. Davis,SAC,-0.07,0.02,-0.05,29,2024-25,Regular Season
1629750,J. Green,NOP,0.18,-0.24,-0.06,5337,2024-25,Regular Season
1631199,R. Harper Jr.,DET,-0.03,-0.03,-0.06,74,2024-25,Regular Season
1630643,J. Huff,MEM,-0.01,-0.05,-0.06,3286,2024-25,Regular Season
