PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
1630264,Anthony Gill,WAS,0.22,-0.62,-0.4,2021-22,0.19,-0.6,-0.41,954,Regular Season
1630643,Jay Huff,LAL,-2.58,2.18,-0.4,2021-22,-2.52,2.38,-0.14,42,Regular Season
202709,Cory Joseph,DET,-0.18,-0.22,-0.4,2021-22,-0.16,-0.24,-0.4,3277,Regular Season
203932,Aaron Gordon,DEN,0.05,-0.45,-0.4,2021-22,0.03,-0.45,-0.42,4904,Regular Season
1630187,Daniel Oturu,TOR,-0.9,0.5,-0.4,2021-22,-0.85,0.62,-0.23,58,Regular Season
1630180,Saddiq Bey,DET,0.05,-0.45,-0.4,2021-22,0.05,-0.44,-0.39,5617,Regular Season
1629685,Dylan Windler,CLE,-0.61,0.2,-0.41,2021-22,-0.59,0.22,-0.37,903,Regular Season
201145,Jeff Green,DEN,-0.07,-0.34,-0.41,2021-22,-0.08,-0.32,-0.4,3816,Regular Season
202711,Bojan Bogdanovic,UTA,0.6,-1.01,-0.41,2021-22,0.55,-1.01,-0.46,4398,Regular Season
1630228,Jonathan Kuminga,GSW,0.03,-0.45,-0.42,2021-22,-0.01,-0.44,-0.45,2455,Regular Season
1629610,DaQuan Jeffries,MEM,-0.37,-0.06,-0.43,2021-22,-0.31,-0.09,-0.4,18,Regular Season
1630231,KJ Martin,HOU,-0.09,-0.34,-0.43,2021-22,-0.12,-0.33,-0.45,3525,Regular Season
1629683,Quinndary Weatherspoon,GSW,-0.09,-0.35,-0.44,2021-22,-0.12,-0.38,-0.5,150,Regular Season
1629076,Tyler Cook,CHI,-0.62,0.18,-0.44,2021-22,-0.58,0.22,-0.36,414,Regular Season
1630219,Skylar Mays,ATL,-0.3,-0.14,-0.44,2021-22,-0.32,-0.14,-0.46,439,Regular Season
1630578,Alperen Sengun,HOU,-0.77,0.32,-0.45,2021-22,-0.75,0.32,-0.43,3158,Regular Season
1630596,Evan Mobley,CLE,-0.82,0.37,-0.45,2021-22,-0.82,0.38,-0.44,4698,Regular Season
201988,Patty Mills,BKN,-0.04,-0.42,-0.46,2021-22,-0.02,-0.41,-0.43,4908,Regular Season
1628963,Marvin Bagley III,DET,-0.36,-0.1,-0.46,2021-22,-0.36,-0.08,-0.44,2362,Regular Season
1630166,Deni Avdija,WAS,-0.73,0.27,-0.46,2021-22,-0.71,0.26,-0.45,4098,Regular Season
1628989,Kevin Huerter,ATL,-0.1,-0.36,-0.46,2021-22,-0.12,-0.38,-0.5,4564,Regular Season
203585,Rodney McGruder,DET,-0.06,-0.41,-0.47,2021-22,-0.08,-0.41,-0.49,1590,Regular Season
1627884,Derrick Jones Jr.,CHI,-0.51,0.04,-0.47,2021-22,-0.52,0.08,-0.44,1890,Regular Season
1629684,Grant Williams,BOS,-0.43,-0.05,-0.48,2021-22,-0.42,-0.04,-0.46,3839,Regular Season
201588,George Hill,MIL,-0.4,-0.08,-0.48,2021-22,-0.39,-0.06,-0.45,2622,Regular Season
1629682,Tremont Waters,WAS,-1.88,1.39,-0.49,2021-22,-1.87,1.43,-0.44,110,Regular Season
1630572,Sandro Mamukelashvili,MIL,0.13,-0.63,-0.5,2021-22,0.09,-0.61,-0.52,834,Regular Season
1628988,Aaron Holiday,PHX,-0.46,-0.04,-0.5,2021-22,-0.47,-0.06,-0.53,2096,Regular Season
