PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_TYPE
1629630,Ja Morant,1610612763,MEM,26.0,20,569.0,34,16,18,47,2,1,2,7,3,10,0.7,0.3,0,6,6,2,6,0.0,1.0,1.0,0.333,Regular Season
1642266,Ja'Kobe Walter,1610612761,TOR,21.0,41,735.0,94,43,51,86,3,5,12,7,8,15,0.467,0.533,4,4,8,6,8,0.5,0.5,1.0,0.75,Regular Season
1631095,Jabari Smith Jr.,1610612745,HOU,22.0,46,1605.0,295,194,101,71,0,21,51,9,12,21,0.429,0.571,7,23,30,23,30,0.233,0.767,1.0,0.767,Regular Season
1631133,Jabari Walker,1610612755,PHI,23.0,40,526.0,63,37,26,39,3,17,38,3,4,7,0.429,0.571,9,4,13,10,15,0.6,0.267,1.0,0.769,Regular Season
1631210,Jacob Toppin,1610612737,ATL,25.0,2,8.0,2,1,1,0,0,1,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1630702,Jaden Hardy,1610612742,DAL,23.0,25,371.0,30,18,12,18,2,1,3,4,2,6,0.667,0.333,0,7,7,1,7,0.0,1.0,1.0,0.143,Regular Season
1631093,Jaden Ivey,1610612765,DET,23.0,32,543.0,62,37,25,28,0,5,10,5,7,12,0.417,0.583,1,3,4,1,4,0.25,0.75,1.0,0.25,Regular Season
1630183,Jaden McDaniels,1610612750,MIN,25.0,48,1540.0,288,168,120,102,0,17,39,12,15,27,0.444,0.556,0,10,10,1,10,0.0,1.0,1.0,0.1,Regular Season
1630256,Jae'Sean Tate,1610612745,HOU,30.0,23,212.0,37,21,16,18,1,6,15,6,4,10,0.6,0.4,3,5,7,5,8,0.375,0.625,0.875,0.625,Regular Season
1642942,Jahmai Mashack,1610612763,MEM,23.0,5,23.0,5,3,2,2,0,0,0,1,0,1,1.0,0.0,0,1,1,1,1,0.0,1.0,1.0,1.0,Regular Season
1642443,Jahmir Young,1610612748,MIA,25.0,4,31.0,6,3,3,3,0,0,0,1,0,1,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1643141,Jahmyl Telfort,1610612746,LAC,24.0,3,11.0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0,1,1,0,1,0.0,1.0,1.0,0.0,Regular Season
1631170,Jaime Jaquez Jr.,1610612748,MIA,24.0,46,1326.0,251,145,106,70,0,13,32,8,11,19,0.421,0.579,1,31,32,16,32,0.031,0.969,1.0,0.5,Regular Season
